ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
1,kano1245,Kanoe,Isolate,12,small,1,0.16,β x,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-12.18,-64.58,bacelar_2004,"The fricative β is in contrast with approximant w, but has no contrasting voiceless segment. The velar fricative x has a very limited distribution. The underlying affricate ts has fricative realizations."
2,kana1291,Katukina,Katukina-Kanamari,14,small,1,0.07,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-6.45,-68.77,anjos_2011,No fricative realization is reported for the underlying affricates
3,kana1291,Kanamari,Katukina-Kanamari,14,small,1,0.07,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-6.45,-68.77,magalhaes_2018,"No fricative realization is reported for the underlying affricates; in Kanamari, but not in Katukina, the fricative h occurs in underlyingly in codas."
4,kwaz1243,Kwaza,Isolate,19,average,1,0.15,h s s̺,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-11.67,-61.18,voort_2004,The glottal h has both voiced and nasalized realizations; the coronal contrast is between lamino-alveolar s and apical-post-alveolar s̺ (the latter having [ʃ] as an allophone)
5,trio1238,Tiriyó,Cariban,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.54,-55.76,meira_1999; carlin_2004,The glottal h is restricted to syllable codas and has allophones [ç] and [x] conditioned by the place (palatal or dorsal) of the preceding vowel; note that Carlin (2004) considers ɸ to be an independent phoneme. This is tied to dialectal differences within Tiriyó and interesting sound changes.
6,waya1269,Wayana,Cariban,9,small,1,0.11,s ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,-54.44,tavares_2005; camargo_1996,"Although both sources agree on the number of consonants and the number of fricatives, Tavares (2005) analyzes the single fricative as h, while Camargo (1996) postulates a single phoneme s. I have followed the latter, simply because this seems to be the etymological situation, h being historically derived."
7,enap1235,Panare,Cariban,14,small,1,0.14,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.95,-65.85,payne_payne_2013,The glottal h is classified as an approximant in the source; the fricative s also has affricate realizations.
8,ikpe1245,Ikpeng,Cariban,11,small,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-11.38,-53.5,carvalho_et_al_2025,"Since the affricate t͡ʃ has an uncertain phonological status but is clearly historically secondary, the same criterion of historical primacy has been followed as in the case of the Wayana fricative. The Ikpeng affricate was excluded from the inventory of contrastive Ikpeng segments."
9,kama1373,Kamayurá,Tupian,14,small,1,0.14,h hʷ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-12.27,-53.47,seki_2000,The fricative hʷ may be realized as ɸ; the approximant w has a fricative realization β preceding a front vowel.
10,culi1244,Kulina,Arawan,16,moderately small,1,0.06,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-8.55,-70.66,dienst_2014,"All the underlying affricates (ts, tsʰ and dz) have optional fricative realizations. Kulina has an apparently rare aspirated fricative realization. The approximant w has a labiodental fricative (free) allophone [v] preceding i and e. Note that while no underlying fricative is posited, a “rare phoneme” s is considered as an innovation of the Madihá branch, though one restricted to sound-symbolic words and loans."
11,pare1272,Paresi,Arawakan,14,small,1,0.28,f θ ʃ h,4,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-14.59,-57.41,brandao_2014,"The only voiced stop is b; the post-alveolar ʃ is considered a marginal phoneme by the author, but since it occurs in inherited/etymological words, it is counted here."
12,pira1253,Pirahã,Mura-Pirahã,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-6.78,-61.82,everett_1986; salles 2023,
13,yagu1244,Yagua,Peba-Yaguan,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-3.43,-72.22,payne_payne_1990,"The affricate t͡ʃ has a fricative allophone ʃ, and the glide w has an allophone β."
14,iqui1243,Iquito,Zaparoan,12,small,1,0.25,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.31,-73.97,michael_et_al_2022,Earlier sources on Iquito treat ʃ as an allophone of s in the context of a following front vowel.
15,pali1279,Palikur,Arawakan,13,small,1,0.23,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.64,-51.62,launey_2003,
16,bani1255,Baniwa,Arawakan,16,moderately small,1,0.06,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.18,-67.77,ramirez_2001,The glottal fricative h triggers contextual nasalization and is associated with morphophonemic adjustments that yield surface aspirated obstruents and devoiced sonorants.
17,wapi1253,Wapixana,Arawakan,17,moderately small,1,0.17,s ʃ ʐ,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2.59,-59.8,santos_2006,The voiced fricative ʐ seems to be possibly classifiable as a rhotic instead.
18,ticu1245,Tikuna,Yuri-Tikuna,10,small,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-3.66,-69.87,rodriguez_2003,The voiced stops b and g have fricative allophones
19,guah1255,Sikuani,Guahiboan,17,moderately small,1,0.23,ɸ s x h,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5.82,-68.98,ardilla_2000,"The approximant w can be realized as β preceding a front vowel i or e; both ɸ and x seem to be recent developments of *pʰ and *kʰ, respectively."
20,piap1246,Piapoco,Arawakan,14,small,1,0.14,θ h,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4.38,-68.6,reinoso_galindo_2002,The glottal h has a limited distribution and is undergoing loss; the approximant w has a [β] realization in intervocalic position.
21,macu1259,Macuxi,Cariban,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.32,-60.22,abbott_1991,"The glottal h has a limited distribution, being restricted to syllable-final (but not word-final) position."
22,waiw1244,Waiwai,Cariban,14,small,1,0.28,ɸ s ʃ h,4,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.51,-59.14,hawkins_1998; hawkins_1952,
23,hixk1239,Hixkaryána,Cariban,18,moderately small,1,0.22,ɸ s ʃ h,4,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.16,-58.8,derbyshire_1979,
24,trum1247,Trumai,Isolate,23,average,1,0.26,f s ɬ ʃ x h,6,6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-11.81,-53.57,guirardello_1999,"There is a single voiced stop, d. Note that the author of the single reference work on the language classifies the lateral fricative ɬ as part of the liquid series, outside of the fricative series. It has been included as a fricative here. "
25,mehi1240,Mehinaku,Arawakan,13,small,1,0.15,ʂ h,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-12.54,-53.52,felipe_2020,
26,juru1256,Yudjá,Tupian,18,moderately small,1,0.22,s z ʃ h,4,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-10.94,-53.35,fargetti_2001,"The fricative h has an allophone ɸ preceding u, and the approximant w is realized as β preceding i."
27,awet1244,Awetí,Tupian,13,small,1,0.07,ʐ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-12.38,-53.39,reiter_2011,"The glottal fricative h is restricted to ideophones and a few loans; the velar fricative ɣ is not clearly contrastive and, in any case, stems from the lenition of k."
28,apal1257,Apalai,Cariban,12,small,1,0.25,s z ʃ ,3,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,-54.75,koehn_koehn_1986,
29,mund1330,Munduruku,Tupian,17,moderately small,1,0.17,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-8.41,-57.69,picanço_2020,
30,sate1243,Mawé,Tupian,12,small,1,0.16,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-3.64,-56.87,silva_2005,The approximant w has a free variant β.
31,karo1305,Káro,Tupian,14,small,1,0.07,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-10.33,-61.57,gabas_1999,"The voiced stops b and g, as well as the voiceless palatal stop c, all have freely occurring fricative allophones in prosodically weak contexts."
32,xing1248,Xingu Asurini,Tupian,16,moderately small,1,0.18,ɸ β h,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-4.13,-52.32,pereira_2009,The glottal fricative h is being lost in the speech of younger speakers; it is possible that g is becoming an independent phoneme.
33,kaya1329,Kayabí,Tupian,14,small,1,0.14,ɸ s,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-11.27,-55.55,dobson_1997,"The approximant w has a fricative allophone β when preceding a front vowel; surface [ɣ] is considered a realization of g, but note that [g] has more limited distribution, and the fricative might be a better characteristic allophone; some speakers have s realized as [t͡s] instead."
34,paum1247,Paumari,Arawan,22,average,1,0.22,f v s ʃ h,5,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-5.78,-64.28,chapman_derbyshire_1991,The fricative v also has [β] as a possible realization.
35,urar1246,Urarina,Isolate,16,moderately small,1,0.31,fʷ s ʃ h hʲ,5,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-4.44,-75.42,olawsky_2006,The fricative ʃ is extremely infrequent; h can be optionally inserted in some medial codas; hw might be another possible marginal phoneme.
36,mats1244,Matsés,Panoan,15,moderately small,1,0.2,s ʃ ʂ,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-5.74,-72.63,fleck_2003,
37,yami1256,Yaminawa,Panoan,14,small,1,0.35,ɸ s ʃ ʂ h,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-9.88,-71.6,faust_loos_2002,
38,ship1254,Shipibo-Konibo,Panoan,15,moderately small,1,0.33,β s ʃ ʂ h,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-7.17,-74.82,valenzuela_2003,"The single voiced fricative β has a realization range including approximant and stop realizations, but the fricative realization is said to be the most frequent (Valenzuela 2003:98)."
39,cube1242,Kubeo,Tukanoan,11,small,1,0.09,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.32,-70.19,chacon_2012,
40,orej1242,Maijiki,Tukanoan,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-2.86,-72.49,farmer_2015,
41,tuyu1244,Tuyuca,Tukanoan,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.39,-70.04,barnes_1996,
42,guan1269,Kotiria,Tukanoan,16,moderately small,1,0.125,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.08,-69.57,stenzel_2004,The approximant w is often realized as [v] in word-initial position (Stenzel 2004:68).
43,yine1238,Yine,Arawakan,16,moderately small,1,0.25,s ʃ ç h,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-11.11,-73.31,hanson_2010,"The glottal h is included by Hanson (2010) in the series of nasal consonants, due to its rhinoglottophilia effects."
44,inap1242,Iñapari,Arawakan,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-12.47,-69.31,parker_1999,The palatal approximant j has optional fricative realizations.
45,apur1254,Apurinã,Arawakan,14,small,1,0.21,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.22,-66.77,facundes_2000,
46,wari1268,Wari’,Chapakuran,16,moderately small,1,0.12,h hʷ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-10.7,-64.56,everett_kern_1997,Affricate t͡ʃ has an optional realization as ʃ.
47,muru1274,Murui,Witotoan,16,moderately small,1,0.25,ɸ β θ h,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-10.7,-64.57,wojtylak_2017,"The voiceless counterpart of z, s, is a marginal phoneme incorporated in the speech of younger individuals"
48,wara1303,Warao,Isolate,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-10.7,-64.58,osborn_1966; romero_figueroa_1997,"According to Osborn (1966), w has a fricative allophone β in medial position."
49,cash1251,Kashibo,Panoan,15,moderately small,1,0.2,s ʃ ʂ,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-10.7,-64.59,zariquiey_2011,
50,yura1255,Yurakaré,Isolate,18,moderately small,1,0.22,s ʃ h ɹ̝,4,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-10.7,-64.6,van_gijn_2006,"The phonological status of the glottal stop ʔ is uncertain; the fricative h has an uncertain status and may be predictable; the fricative ɹ̝ is described as a ‘voiced post-alveolar’ fricative, “the same sound of r in the dr cluster in English <dream>”."
51,mose1249,Mosetén,Mosetenan,24,average,1,0.16,ɸ s ʃ h,4,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-10.7,-64.61,sakel_2004,"The labial fricative is symbolized as <f>, but described as bilabial (Sakel 2004:29)"
52,movi1243,Movima,Isolate,19,average,1,0.21,β s ɬ h,4,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-10.7,-64.62,haude_2006,"The fricative <f> occurs only in Spanish loans; β is seemingly contrastive, but stronger evidence is still needed."
53,cavi1250,Cavineña,Takanan,20,average,1,0.15,s ɕ h,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-10.7,-64.63,guillaume_2008,
54,esee1248,Ese Ejja,Takanan,17,moderately small,1,0.23,s ʃ x h,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-10.7,-64.64,vuillermet_2012,
55,bora1263,Bora,Boran,29,moderately large,1,0.17,β βʲ ʝ h hʲ ,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-10.7,-64.65,seifart_echeverri_2015,"Note that although the language has voiced fricatives while lacking voiced stops, it seems like β and ʝ could be approximants; overall number of fricatives somewhat inflated due to βʲ and hʲ."
56,muin1242,Muinane,Boran,19,average,1,0.26,ɸ β s ʝ h,5,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,-10.7,-64.66,seifart_echeverri_2015,
57,hupd1244,Hup,Nadahupan,19,average,1,0.1,ç h,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,-10.7,-64.67,epps_2008,ç can appear only in morpheme-final position and is realized as [ʲh]; palatal stop c has fricative realizations (Epps 2008:51-2); the approximant w is pronounced as a fricative β before front vowels (Epps 2008:61).
58,cacu1241,Kakua,Kakua-nukak,17,moderately small,1,0.11,f h,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-10.7,-64.68,bolanos_2016,"The fricative f is restricted to morpheme-initial position, it can be realized as [f] or [ɸ] depending on the clanic affiliation of the speaker (Bolaños 2016:46)."
59,deni1241,Deni,Arawan,15,moderately small,1,0.13,v h,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-10.7,-64.69,carvalho_2011,Both t͡s and d͡z have fricative allophones.
60,waur1244,Wauja,Arawakan,15,moderately small,1,0.2,s ʐ h,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,-10.7,-64.7,postigo_2014,"The fricative [β] may occur as a free variant of w; the single voiced stop is uvular ɢ, which seems to reflect a rhotic. The single voiced fricative ʐ seems to reflect a rhotic."
61,bare1276,Baré,Arawakan,19,average,1,0.1,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.71",,aikhenvald_1995,The glottal h has a limited distribution and also triggers nasalization.
62,araw1276,Lokono,Arawakan,17,moderately small,1,0.11,ɸ s,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"-10.70, -64.72",,pet_2011,
63,muni1258,Muniche,Isolate,20,average,1,0.25,s ʃ ʂ ç h,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"-10.70, -64.73",,michael_et_al_2013,"The glottal fricative h has a velar allophone [x] before consonants (Michael et al. 2013:317); the fricative ʃ is limited to very few words (Michael et al. 2013:318),"
